CH_TIMESTAMP,CH_SYMBOL,CH_SERIES,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL
2023-12-14,RELIANCE,EQ,2474.95,2442.65,2454.0,2464.15,8486177,20916413095.3
2023-12-13,RELIANCE,EQ,2438.35,2406.3,2422.0,2433.95,5015591,12149635536.75
2023-12-12,RELIANCE,EQ,2464.95,2420.15,2460.0,2424.05,4598562,11233058046.6
2023-12-11,RELIANCE,EQ,2467.6,2452.4,2456.0,2459.35,3533069,8690654768.25
2023-12-08,RELIANCE,EQ,2476.7,2445.0,2463.85,2455.75,5102447,12539153828.9
2023-12-07,RELIANCE,EQ,2460.95,2442.0,2460.0,2457.05,4071048,9988795871.3
2023-12-06,RELIANCE,EQ,2472.95,2435.0,2447.1,2461.1,8211221,20196820469.5
2023-12-05,RELIANCE,EQ,2440.85,2421.65,2439.0,2437.75,6346812,15456491179.15
2023-12-04,RELIANCE,EQ,2450.0,2398.6,2450.0,2420.2,7795495,18842940784.8
2023-12-01,RELIANCE,EQ,2396.4,2377.6,2378.0,2394.3,7171421,17135906079.4
2023-11-30,RELIANCE,EQ,2400.7,2369.9,2394.7,2377.45,14219992,33880261609.25
2023-11-29,RELIANCE,EQ,2411.95,2398.05,2408.0,2400.7,6265653,15078554701.8
2023-11-28,RELIANCE,EQ,2399.7,2375.25,2393.9,2394.4,6896087,16433674720.45
2023-11-24,RELIANCE,EQ,2402.6,2391.05,2391.6,2393.9,3374743,8090226237.15
2023-11-23,RELIANCE,EQ,2400.0,2388.2,2388.2,2395.5,4265771,10219770255.8
2023-11-22,RELIANCE,EQ,2394.45,2372.2,2375.0,2388.2,4267407,10181003165.9
2023-11-21,RELIANCE,EQ,2388.0,2360.2,2366.0,2378.9,4107225,9763257904.05
2023-11-20,RELIANCE,EQ,2358.4,2336.4,2348.55,2349.35,2245093,5269153540.0
2023-11-17,RELIANCE,EQ,2373.25,2352.05,2352.9,2355.55,3879317,9168751612.0
2023-11-16,RELIANCE,EQ,2374.15,2346.95,2351.1,2360.7,6567455,15523761404.1
2023-11-15,RELIANCE,EQ,2361.95,2327.0,2340.0,2356.45,6110324,14339487044.5
2023-11-13,RELIANCE,EQ,2324.6,2311.7,2322.9,2314.6,1927405,4464162629.45
2023-11-12,RELIANCE,EQ,2332.0,2322.5,2326.05,2330.65,709922,1653202914.45
2023-11-10,RELIANCE,EQ,2316.35,2298.05,2305.55,2314.9,3867477,8928695452.35
2023-11-09,RELIANCE,EQ,2335.9,2304.2,2335.85,2310.55,7256805,16810455976.65
2023-11-08,RELIANCE,EQ,2341.0,2321.75,2332.0,2335.9,3942247,9208287625.15
2023-11-07,RELIANCE,EQ,2339.1,2319.55,2334.05,2323.8,3480102,8102678736.35
2023-11-06,RELIANCE,EQ,2340.0,2325.6,2332.3,2339.0,5323652,12426455971.7
2023-11-03,RELIANCE,EQ,2334.95,2315.75,2327.2,2319.7,4425078,10292487339.95
2023-11-02,RELIANCE,EQ,2324.3,2307.95,2313.95,2320.2,5281052,12233275556.75
2023-11-01,RELIANCE,EQ,2317.5,2275.2,2289.15,2297.4,5154595,11865133915.6
2023-10-31,RELIANCE,EQ,2328.0,2282.9,2328.0,2287.9,6404219,14747354996.7
2023-10-30,RELIANCE,EQ,2325.0,2269.95,2274.0,2312.5,8406652,19422270423.05
2023-10-27,RELIANCE,EQ,2273.5,2235.95,2240.0,2265.8,5885542,13315143153.75
2023-10-26,RELIANCE,EQ,2258.0,2220.3,2251.0,2226.5,7611267,16994910102.9
2023-10-25,RELIANCE,EQ,2281.2,2243.0,2250.05,2257.95,5810344,13140035999.6
2023-10-23,RELIANCE,EQ,2306.25,2255.25,2290.0,2263.2,3926981,8966223109.05
2023-10-20,RELIANCE,EQ,2314.7,2296.3,2300.0,2299.1,4456656,10261859218.6
2023-10-19,RELIANCE,EQ,2321.8,2301.0,2312.0,2306.15,6016278,13898102710.85
2023-10-18,RELIANCE,EQ,2367.0,2321.0,2355.25,2324.0,4459160,10442944805.7
