Date,Open,High,Low,Close,Volume
2014-09-26,8.5,8.5,8.489999771118164,8.489999771118164,1310.0
2014-09-29,,,,,
2014-09-30,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,21.0
2014-10-01,,,,,
2014-10-02,,,,,
2014-10-03,,,,,
2014-10-06,,,,,
2014-10-07,,,,,
2014-10-08,,,,,
2014-10-09,7.980000019073486,7.980000019073486,7.980000019073486,7.980000019073486,100.0
2014-10-10,7.599999904632568,8.100000381469727,7.590000152587891,7.630000114440918,285.0
2014-10-13,8.0,8.0,7.25,8.0,18.0
2014-10-14,8.199999809265137,8.199999809265137,8.1899995803833,8.1899995803833,10.0
2014-10-15,,,,,
2014-10-16,,,,,
2014-10-17,8.199999809265137,8.199999809265137,8.0,8.100000381469727,15.0
2014-10-20,8.100000381469727,8.100000381469727,7.699999809265137,8.050000190734863,20.0
2014-10-21,,,,,
2014-10-22,,,,,
2014-10-23,,,,,
2014-10-24,,,,,
2014-10-27,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,1.0
2014-10-28,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,2.0
2014-10-29,8.0,8.0,8.0,8.0,100.0
2014-10-30,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,2.0
2014-10-31,8.75,8.75,7.980000019073486,8.720000267028809,1054.0
2014-11-03,9.149999618530273,9.149999618530273,9.149999618530273,9.149999618530273,100.0
2014-11-04,,,,,
2014-11-05,9.0,9.0,8.699999809265137,8.699999809265137,4.0
2014-11-06,,,,,
2014-11-07,9.0,9.0,8.989999771118164,8.989999771118164,4.0
2014-11-10,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,1.0
2014-11-11,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,1.0
2014-11-12,10.34000015258789,10.34000015258789,10.34000015258789,10.34000015258789,1.0
2014-11-13,9.829999923706055,10.800000190734863,9.829999923706055,10.800000190734863,301.0
2014-11-14,11.34000015258789,11.34000015258789,10.260000228881836,10.260000228881836,1025.0
2014-11-17,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,1.0
2014-11-18,11.300000190734863,11.300000190734863,11.300000190734863,11.300000190734863,1.0
2014-11-19,11.850000381469727,11.850000381469727,10.739999771118164,10.739999771118164,3.0
2014-11-20,11.270000457763672,11.270000457763672,10.210000038146973,10.210000038146973,1001.0
2014-11-21,10.720000267028809,10.720000267028809,9.699999809265137,10.100000381469727,2414.0
2014-11-24,10.5,10.5,9.600000381469727,9.600000381469727,304.0
2014-11-25,10.079999923706055,10.079999923706055,9.119999885559082,9.119999885559082,3003.0
2014-11-26,9.569999694824219,9.569999694824219,9.5600004196167,9.5600004196167,101.0
2014-11-27,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,1.0
2014-11-28,10.529999732971191,10.529999732971191,10.449999809265137,10.449999809265137,51.0
2014-12-01,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,501.0
2014-12-02,11.510000228881836,11.510000228881836,10.430000305175781,10.430000305175781,51.0
2014-12-03,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,1.0
2014-12-04,,,,,
2014-12-05,,,,,
2014-12-08,,,,,
2014-12-09,,,,,
2014-12-10,,,,,
2014-12-11,,,,,
2014-12-12,,,,,
2014-12-15,,,,,
2014-12-16,,,,,
2014-12-17,,,,,
2014-12-18,,,,,
2014-12-19,,,,,
2014-12-22,,,,,
2014-12-23,,,,,
2014-12-24,,,,,
2014-12-26,,,,,
2014-12-29,,,,,
2014-12-30,,,,,
2014-12-31,,,,,
2015-01-01,,,,,
2015-01-02,,,,,
2015-01-05,,,,,
2015-01-06,,,,,
2015-01-07,,,,,
2015-01-08,,,,,
2015-01-09,,,,,
2015-01-12,,,,,
2015-01-13,,,,,
2015-01-14,,,,,
2015-01-15,,,,,
2015-01-16,,,,,
2015-01-19,,,,,
2015-01-20,,,,,
2015-01-21,,,,,
2015-01-22,,,,,
2015-01-23,,,,,
2015-01-26,,,,,
2015-01-27,,,,,
2015-01-28,,,,,
2015-01-29,10.40999984741211,10.40999984741211,10.40999984741211,10.40999984741211,1.0
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,10.0
